ID,Datetime,renshen
1,201501,650
2,201502,650
3,201503,650
4,201504,660
5,201505,660
6,201506,650
7,201507,650
8,201508,650
9,201509,650
10,201510,650
11,201511,650
12,201512,580
13,201601,530
14,201602,480
15,201603,480
16,201604,440
17,201605,370
18,201606,370
19,201607,370
20,201608,370
21,201609,370
22,201610,390
23,201611,390
24,201612,390
25,201701,400
26,201702,400
27,201703,400
28,201704,430
29,201705,430
30,201706,430
31,201707,430
32,201708,380
33,201709,380
34,201710,380
35,201711,430
36,201712,430
37,201801,430
38,201802,370
39,201803,370
40,201804,370
41,201805,370
42,201806,370
43,201807,330
44,201808,330
45,201809,330
46,201810,330
47,201811,300
48,201812,290
49,201901,290
50,201902,290
51,201903,290
52,201904,290
53,201905,290
54,201906,320
55,201907,320
56,201908,370
57,201909,370
58,201910,370
59,201911,330
60,201912,330
61,202001,330
62,202002,300
